name,count,id,lat,lng
California Ave & Granville Ave,363,23104,41.994059801,-87.699272275
California Ave & Lake St,945,15666,41.88445395657,-87.6962981368
California Ave & Marquette Rd,109,390,41.771570833333335,-87.69333183333333
California Ave & Milwaukee Ave,10730,13084,41.922695,-87.697153
California Ave & Montrose Ave,2906,15622,41.961068,-87.695439
California Ave & North Ave,3626,13258,41.910475,-87.696894
California Ave & Touhy Ave,74,24151,42.01202,-87.699884
California Ave & Winona St,719,443,41.974703312,-87.697831988
Calumet Ave & 18th St,7275,13102,41.85761755293753,-87.61941075325012
Calumet Ave & 21st St,3847,15546,41.85418424947,-87.6191537415
Calumet Ave & 33rd St,12188,13217,41.8349,-87.61793
Calumet Ave & 35th St,3333,13345,41.831379,-87.618034
Calumet Ave & 51st St,835,15470,41.80229465088,-87.6180535802
Calumet Ave & 71st St,212,15599,41.76550800581,-87.616917925
Calumet Park,170,20224,41.71371,-87.530844
Campbell Ave & 51st St,112,21383,41.80094,-87.68676
Campbell Ave & Augusta Blvd,2602,410,41.89940983333334,-87.689364
Campbell Ave & Fullerton Ave,2756,15648,41.92463247165,-87.6893070063
Campbell Ave & Irving Park Rd,546,439,41.95354283333333,-87.69073616666667
Campbell Ave & Montrose Ave,2805,15623,41.961524,-87.691177
Campbell Ave & North Ave,5563,13257,41.910535,-87.689556
Canal St & Adams St,19861,13011,41.879255,-87.639904
Canal St & Harrison St,2887,13326,41.874255,-87.639573
Canal St & Jackson Blvd,11287,13138,41.878802,-87.639621
Canal St & Madison St,17494,13341,41.882409,-87.639767
Canal St & Monroe St,13591,13056,41.88169,-87.63953
Canal St & Taylor St,5570,15550,41.870257,-87.639474
Cannon Dr & Fullerton Ave,5138,13124,41.9267559875,-87.6344287848
Carpenter St & 63rd St,15,18025,41.77990366666667,-87.65094983333333
Carpenter St & Huron St,9339,13196,41.894556,-87.653449
Central Ave & Altgeld St,36,23182,41.9258119,-87.7663685
Central Ave & Chicago Ave,287,16920,41.894958,-87.764902
Central Ave & Harrison St,80,16915,41.872993,-87.764499
